zipcode,score,name,latitude,longitude
10014,0.5605154309,"NEW YORK, NY 10014",40.73,-74.01
10016,0.8551231743,"NEW YORK, NY 10016",40.75,-73.98
10017,0.615435974,"NEW YORK, NY 10017",40.75,-73.97
10018,0.5118455199,"NEW YORK, NY 10018",40.76,-73.99
10019,0.6718474629,"NEW YORK, NY 10019",40.77,-73.99
10021,0.6078937804,"NEW YORK, NY 10021",40.77,-73.96
10022,1,"NEW YORK, NY 10022",40.76,-73.97
10023,0.6187014767,"NEW YORK, NY 10023",40.78,-73.98
10024,0.5244292599,"NEW YORK, NY 10024",40.79,-73.98
10025,0.6008688527,"NEW YORK, NY 10025",40.8,-73.97
10128,0.6548101324,"NEW YORK, NY 10128",40.78,-73.95
10314,0.5049134471,"STATEN ISLAND, NY 10314",40.61,-74.15
10977,0.5689487357,"SPRING VALLEY, NY 10977",41.12,-74.04
11021,0.5026872562,"GREAT NECK, NY 11021",40.79,-73.73
11201,0.7178187511,"BROOKLYN, NY 11201",40.7,-73.99
11204,0.516697054,"BROOKLYN, NY 11204",40.62,-73.98
11206,0.5235746949,"BROOKLYN, NY 11206",40.7,-73.94
11211,0.7797476585,"BROOKLYN, NY 11211",40.71,-73.96
11219,0.5687419272,"BROOKLYN, NY 11219",40.63,-74
11223,0.5583412328,"BROOKLYN, NY 11223",40.6,-73.97
11229,0.5597666849,"BROOKLYN, NY 11229",40.6,-73.94
11230,0.5801221777,"BROOKLYN, NY 11230",40.62,-73.97
11234,0.6176485577,"BROOKLYN, NY 11234",40.62,-73.92
11530,0.5985211709,"GARDEN CITY, NY 11530",40.73,-73.64
11743,0.5269439039,"HUNTINGTON, NY 11743",40.87,-73.41
18901,0.5801688217,"DOYLESTOWN, PA 18901",40.31,-75.14
18940,0.6773397279,"NEWTOWN, PA 18940",40.24,-74.94
18951,0.6206128874,"QUAKERTOWN, PA 18951",40.44,-75.35
18966,0.6586356413,"SOUTHAMPTON, PA 18966",40.19,-75.01
18974,0.6420508483,"WARMINSTER, PA 18974",40.21,-75.09
19002,0.6756122013,"AMBLER, PA 19002",40.17,-75.21
19003,0.5308363762,"ARDMORE, PA 19003",40,-75.3
19004,0.5163565465,"BALA CYNWYD, PA 19004",40.01,-75.23
19006,0.5775576906,"HUNTINGDON VALLEY, PA 19006",40.13,-75.06
19008,0.517376459,"BROOMALL, PA 19008",39.98,-75.36
19010,0.6695172149,"BRYN MAWR, PA 19010",40.02,-75.33
19020,0.7091923369,"BENSALEM, PA 19020",40.1,-74.94
19034,0.5314373522,"FORT WASHINGTON, PA 19034",40.14,-75.2
19038,0.5614580803,"GLENSIDE, PA 19038",40.1,-75.17
19044,0.5210328587,"HORSHAM, PA 19044",40.19,-75.14
19046,0.6322314592,"JENKINTOWN, PA 19046",40.1,-75.11
19047,0.6113966871,"LANGHORNE, PA 19047",40.18,-74.91
19053,0.6333665337,"FEASTERVILLE TREVOSE, PA 19053",40.15,-74.98
19063,0.7549214877,"MEDIA, PA 19063",39.92,-75.4
19064,0.6992509264,"SPRINGFIELD, PA 19064",39.93,-75.34
19067,0.7657007296,"MORRISVILLE, PA 19067",40.21,-74.82
19073,0.7457504951,"NEWTOWN SQUARE, PA 19073",39.98,-75.42
19083,0.534563224,"HAVERTOWN, PA 19083",39.98,-75.31
19087,0.8225269179,"WAYNE, PA 19087",40.06,-75.4
19090,0.5411388827,"WILLOW GROVE, PA 19090",40.15,-75.12
19096,0.515365786,"WYNNEWOOD, PA 19096",39.99,-75.27
19103,1,"PHILADELPHIA, PA 19103",39.95,-75.17
19106,0.7067043074,"PHILADELPHIA, PA 19106",39.95,-75.15
19114,0.6408006005,"PHILADELPHIA, PA 19114",40.06,-75
19118,0.5674992617,"PHILADELPHIA, PA 19118",40.07,-75.21
19119,0.533556828,"PHILADELPHIA, PA 19119",40.06,-75.19
19123,0.5374514562,"PHILADELPHIA, PA 19123",39.96,-75.15
19129,0.5204274974,"PHILADELPHIA, PA 19129",40.01,-75.19
19130,0.613625815,"PHILADELPHIA, PA 19130",39.97,-75.17
19131,0.5144902079,"PHILADELPHIA, PA 19131",39.98,-75.22
19136,0.5305549378,"PHILADELPHIA, PA 19136",40.04,-75.03
19144,0.508658821,"PHILADELPHIA, PA 19144",40.03,-75.17
19145,0.5730827909,"PHILADELPHIA, PA 19145",39.92,-75.18
19146,0.5679843944,"PHILADELPHIA, PA 19146",39.94,-75.18
19147,0.6646365755,"PHILADELPHIA, PA 19147",39.94,-75.16
19148,0.5348077527,"PHILADELPHIA, PA 19148",39.92,-75.16
